0.7, -0.6, -3.1, 1.1, 1.8, 5.9, -7.4, -2.1, -2.1, 0.1
parameter ends

state | action | reward
[0.02] | 1 | 1.0
0.020462319254875183 | 1 | 1.0
0.02465943619608879 | 1 | 1.0
0.03276004642248154 | 0 | 1.0
0.044765930622816086 | 1 | 1.0
0.05287566035985947 | 0 | 1.0
0.0648987889289856 | 1 | 1.0
0.07303476333618164 | 0 | 1.0
0.08509175479412079 | 0 | 1.0
0.09327126294374466 | 1 | 1.0
0.09758038073778152 | 0 | 1.0
0.10582132637500763 | 0 | 1.0
0.11019942164421082 | 1 | 1.0
0.1107209101319313 | 0 | 1.0
0.11518145352602005 | 0 | 1.0
0.11579084396362305 | 0 | 1.0
0.11255433410406113 | 1 | 1.0
0.10547518730163574 | 0 | 1.0
0.10234040021896362 | 0 | 1.0
0.09536337107419968 | 1 | 1.0
0.08454634249210358 | 0 | 1.0
0.07767431437969208 | 0 | 1.0
0.06696107983589172 | 0 | 1.0
0.05240786075592041 | 1 | 1.0
0.03401382640004158 | 0 | 1.0
0.019562607631087303 | 0 | 1.0
0.0012647021794691682 | 1 | 1.0
-0.020881693810224533 | 0 | 1.0
-0.03908957168459892 | 1 | 1.0
-0.06115337461233139 | 0 | 1.0
-0.07928188890218735 | 0 | 1.0
-0.10127237439155579 | 1 | 1.0
-0.12712682783603668 | 0 | 1.0
-0.14905154705047607 | 1 | 1.0
-0.1748482882976532 | 0 | 1.0
-0.1967199593782425 | 1 | 1.0
-0.22247059643268585 | 0 | 1.0
-0.2443007081747055 | 0 | 1.0
-0.2700158953666687 | 1 | 1.0
-0.2996182441711426 | 0 | 1.0
-0.3253076672554016 | 1 | 1.0
-0.3548928201198578 | 1 | 1.0
-0.3805721700191498 | 0 | 1.0
-0.4023502469062805 | 1 | 1.0
-0.4280349314212799 | 0 | 1.0
-0.4498228132724762 | 1 | 1.0
-0.4755215346813202 | 0 | 1.0
-0.49732810258865356 | 1 | 1.0
-0.5230497717857361 | 1 | 1.0
-0.5448842644691467 | 0 | 1.0
-0.5628355741500854 | 1 | 1.0
-0.5847078561782837 | 0 | 1.0
-0.6026989817619324 | 1 | 1.0
-0.6246129274368286 | 1 | 1.0
-0.6426483988761902 | 0 | 1.0
-0.6568082571029663 | 1 | 1.0
-0.6748936176300049 | 1 | 1.0
-0.6891032457351685 | 0 | 1.0
-0.6994383931159973 | 1 | 1.0
-0.71369868516922 | 0 | 1.0
-0.7240815758705139 | 1 | 1.0
-0.7383880019187927 | 0 | 1.0
-0.7488149404525757 | 1 | 1.0
-0.7631641626358032 | 1 | 1.0
-0.7736324667930603 | 0 | 1.0
-0.7802202701568604 | 1 | 1.0
-0.7907282710075378 | 0 | 1.0
-0.7973515391349792 | 1 | 1.0
-0.8078920841217041 | 0 | 1.0
-0.814544141292572 | 1 | 1.0
-0.825110673904419 | 1 | 1.0
-0.8317856192588806 | 0 | 1.0
-0.8345683217048645 | 1 | 1.0
-0.8412608504295349 | 0 | 1.0
-0.8440550565719604 | 1 | 1.0
-0.850753664970398 | 0 | 1.0
-0.8535482287406921 | 0 | 1.0
-0.8602417707443237 | 1 | 1.0
-0.8708303570747375 | 0 | 1.0
-0.8775075674057007 | 1 | 1.0
-0.8880773186683655 | 0 | 1.0
-0.8947334289550781 | 1 | 1.0
-0.905279278755188 | 0 | 1.0
-0.9119090437889099 | 1 | 1.0
-0.9224255084991455 | 0 | 1.0
-0.9290230870246887 | 0 | 1.0
-0.9395038485527039 | 1 | 1.0
-0.9538646340370178 | 0 | 1.0
-0.9643027186393738 | 1 | 1.0
-0.9786202311515808 | 0 | 1.0
-0.9890142679214478 | 1 | 1.0
-1.0032864809036255 | 0 | 1.0
-1.0136339664459229 | 0 | 1.0
-1.0278578996658325 | 1 | 1.0
-1.0459555387496948 | 0 | 1.0
-1.060126781463623 | 1 | 1.0
-1.0781728029251099 | 0 | 1.0
-1.0922926664352417 | 0 | 1.0
-1.1102873086929321 | 1 | 1.0
-1.1321555376052856 | 0 | 1.0
-1.1500979661941528 | 1 | 1.0
-1.1719167232513428 | 0 | 1.0
-1.1898112297058105 | 1 | 1.0
-1.2115840911865234 | 0 | 1.0
-1.2294340133666992 | 0 | 1.0
-1.2511636018753052 | 1 | 1.0
-1.2767724990844727 | 0 | 1.0
-1.2984601259231567 | 1 | 1.0
-1.324031114578247 | 0 | 1.0
-1.3456839323043823 | 1 | 1.0
-1.3712235689163208 | 0 | 1.0
-1.3928474187850952 | 1 | 1.0
-1.4183610677719116 | 0 | 1.0
-1.4399614334106445 | 1 | 1.0
-1.4654542207717896 | 0 | 1.0
-1.4870355129241943 | 1 | 1.0
-1.5125116109848022 | 0 | 1.0
-1.5340782403945923 | 1 | 1.0
-1.5595415830612183 | 0 | 1.0
-1.5810970067977905 | 1 | 1.0
-1.6065510511398315 | 0 | 1.0
-1.6280988454818726 | 1 | 1.0
-1.6535468101501465 | 0 | 1.0
-1.6750900745391846 | 1 | 1.0
-1.7005350589752197 | 0 | 1.0
-1.7220767736434937 | 1 | 1.0
-1.7475216388702393 | 0 | 1.0
-1.7690646648406982 | 1 | 1.0
-1.794512391090393 | 0 | 1.0
-1.8160598278045654 | 1 | 1.0
-1.8415132761001587 | 1 | 1.0
-1.863067865371704 | 0 | 1.0
-1.8807255029678345 | 1 | 1.0
-1.9022904634475708 | 0 | 1.0
-1.9199566841125488 | 1 | 1.0
-1.9415289163589478 | 0 | 1.0
-1.9592005014419556 | 1 | 1.0
-1.9807766675949097 | 0 | 1.0
-1.998450756072998 | 1 | 1.0
-2.0200278759002686 | 0 | 1.0
-2.0377016067504883 | 1 | 1.0
-2.059276580810547 | 0 | 1.0
-2.076946973800659 | 1 | 1.0
-2.0985171794891357 | 0 | 1.0
-2.1161811351776123 | 1 | 1.0
-2.1377437114715576 | 0 | 1.0
-2.15539813041687 | 1 | 1.0
-2.1769495010375977 | 0 | 1.0
-2.194591522216797 | 1 | 1.0
-2.2161285877227783 | 0 | 1.0
-2.2337541580200195 | 1 | 1.0
-2.2552731037139893 | 0 | 1.0
-2.272878646850586 | 1 | 1.0
-2.29437518119812 | 0 | 1.0
-2.3119566440582275 | 0 | 1.0
-2.3334262371063232 | 1 | 1.0
-2.358781337738037 | 0 | 1.0
-2.380218744277954 | 1 | 1.0
Total reward: 158.0
